[2022-08-30T15:27:26.137] [INFO] infoFile - { route: '/api/login', method: '[GET]' }
[2022-08-30T15:27:28.718] [INFO] infoFile - { route: '/api/login', method: '[GET]' }
[2022-08-30T15:27:42.887] [INFO] infoFile - { route: '/api/register', method: '[POST]' }
[2022-08-30T15:27:43.332] [INFO] infoFile - { route: '/', method: '[GET]' }
[2022-08-30T15:27:43.726] [INFO] infoFile - { route: '/api/chat', method: '[GET]' }
[2022-08-30T15:28:19.704] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T15:28:43.073] [INFO] infoFile - { route: '/aa', method: '[GET]' }
[2022-08-30T15:29:02.339] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T15:29:07.147] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T16:09:33.869] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T16:09:36.625] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T16:20:25.077] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T16:24:34.535] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T16:38:33.039] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:12:28.801] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.982] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.984] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.985] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.987] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.988] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.990] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.991] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.992] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.996] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.997] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:27.999] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.000] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.002] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.003] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.004] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.006] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.007] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.008] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.010] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.011] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.011] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.012] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.013] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.013] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.014] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.015] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.016] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.016] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.018] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.019] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.020] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.021] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.022] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.023] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.024] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.024] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.025] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.026] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.027] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.028] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.029] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.030] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.030] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.031] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.032] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.032] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.033] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.034] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.035] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.040] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.041] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.042] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.043] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.044] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.045] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.045] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.046] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.047] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.048] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.048] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.050] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.050] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.051] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.052] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.053] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.054] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.054] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.055] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.056] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.056] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.058] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.060] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.061] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.062] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.062] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.063] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.063] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.069] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.070] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.071] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.072] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.072] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.073] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.073] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.074] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.075] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.075] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.076] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.077] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.077] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.078] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.079] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.079] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.080] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.080] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.081] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.082] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.082] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.084] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.085] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.113] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.114] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.114] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.115] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.115] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.116] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.116] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.117] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.118] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.118] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.119] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.120] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.121] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.121] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.122] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.123] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.123] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.124] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.125] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.126] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.126] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.127] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.127] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.128] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.129] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.130] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.130] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.131] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.131] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.132] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.133] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.133] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.134] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.135] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.136] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.136] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.137] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.138] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.138] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.139] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.140] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.140] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.142] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.143] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.143] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.144] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.144] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.145] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.145] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.146] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.147] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.147] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.148] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.148] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.149] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.150] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.150] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.151] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.152] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.153] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.154] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.154] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.155] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.156] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.156] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.157] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.158] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.159] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.160] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.160] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.161] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.161] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.162] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.163] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.163] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.164] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.165] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.165] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.166] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.167] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.167] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.168] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.171] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.171] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.172] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.173] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.173] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.174] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.175] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.175] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.176] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.177] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.177] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.178] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.179] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.179] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.180] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.181] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.182] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.183] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.202] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.202] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.203] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.204] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.204] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.205] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.205] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.206] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.206] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.207] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.207] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.208] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.208] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.209] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.209] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.210] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.210] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.211] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.211] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.212] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.212] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.213] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.213] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.214] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.214] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.215] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.215] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.216] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.217] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.217] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.218] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.219] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.220] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.221] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.221] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.222] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.223] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.223] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.224] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.225] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.225] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.226] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.227] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.228] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.228] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.229] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.230] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.230] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.231] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.232] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.232] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.233] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.234] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.234] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.235] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.236] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.237] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.238] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.238] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.239] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.240] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.241] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.241] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.242] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.243] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.243] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.244] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.245] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.245] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.246] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.247] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.247] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.248] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.249] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.250] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-08-30T17:13:28.250] [INFO] infoFile - { route: '/info', method: '[GET]' }
